filename,sample_id,accession,study,bioproject_accession,biosample_accession,library_id,library_strategy,library_source,platform,instrument_model,design_description,generator_facility,generator_contact,data_type,filetype,library_layout,library_selection,shear_method,total_bp,coverage,ntsm_score,path,total_gbp,production
HG00097-1_FC1_S5_L001_R1_001.fastq.gz,HG00097,,SRP305758,PRJNA701308,SAMN41021660,HG00097-1,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned reads,fastq,paired,RANDOM,no shear,41215017687,13.3,0.404905,s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG00097/raw_data/hic/HG00097-1_FC1_S5_L001_R1_001.fastq.gz,41.22,HIC_Y3_Y4_part2
HG00097-1_FC1_S5_L001_R2_001.fastq.gz,HG00097,,SRP305758,PRJNA701308,SAMN41021660,HG00097-1,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned reads,fastq,paired,RANDOM,no shear,41215017687,13.3,0.382096,s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG00097/raw_data/hic/HG00097-1_FC1_S5_L001_R2_001.fastq.gz,41.22,HIC_Y3_Y4_part2
HG00097-1_FC2_S5_L001_R1_001.fastq.gz,HG00097,,SRP305758,PRJNA701308,SAMN41021660,HG00097-1,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned reads,fastq,paired,RANDOM,no shear,42117594970,13.59,0.408712,s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG00097/raw_data/hic/HG00097-1_FC2_S5_L001_R1_001.fastq.gz,42.12,HIC_Y3_Y4_part2
HG00097-1_FC2_S5_L001_R2_001.fastq.gz,HG00097,,SRP305758,PRJNA701308,SAMN41021660,HG00097-1,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned reads,fastq,paired,RANDOM,no shear,42117594970,13.59,0.3963,s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG00097/raw_data/hic/HG00097-1_FC2_S5_L001_R2_001.fastq.gz,42.12,HIC_Y3_Y4_part2
HG00097-1_FC3_S5_L001_R1_001.fastq.gz,HG00097,,SRP305758,PRJNA701308,SAMN41021660,HG00097-1,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned reads,fastq,paired,RANDOM,no shear,42482338490,13.7,0.416986,s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG00097/raw_data/hic/HG00097-1_FC3_S5_L001_R1_001.fastq.gz,42.48,HIC_Y3_Y4_part2
HG00097-1_FC3_S5_L001_R2_001.fastq.gz,HG00097,,SRP305758,PRJNA701308,SAMN41021660,HG00097-1,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned reads,fastq,paired,RANDOM,no shear,42482338490,13.7,0.386148,s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG00097/raw_data/hic/HG00097-1_FC3_S5_L001_R2_001.fastq.gz,42.48,HIC_Y3_Y4_part2
HG00097-1_FC4_S5_L001_R1_001.fastq.gz,HG00097,,SRP305758,PRJNA701308,SAMN41021660,HG00097-1,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned reads,fastq,paired,RANDOM,no shear,41463345039,13.38,0.422274,s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG00097/raw_data/hic/HG00097-1_FC4_S5_L001_R1_001.fastq.gz,41.46,HIC_Y3_Y4_part2
HG00097-1_FC4_S5_L001_R2_001.fastq.gz,HG00097,,SRP305758,PRJNA701308,SAMN41021660,HG00097-1,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned reads,fastq,paired,RANDOM,no shear,41463345039,13.38,0.424785,s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG00097/raw_data/hic/HG00097-1_FC4_S5_L001_R2_001.fastq.gz,41.46,HIC_Y3_Y4_part2
HG00097-2_FC1_S6_L001_R1_001.fastq.gz,HG00097,,SRP305758,PRJNA701308,SAMN41021660,HG00097-2,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned reads,fastq,paired,RANDOM,no shear,25506303618,8.23,0.446166,s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG00097/raw_data/hic/HG00097-2_FC1_S6_L001_R1_001.fastq.gz,25.51,HIC_Y3_Y4_part2
HG00097-2_FC1_S6_L001_R2_001.fastq.gz,HG00097,,SRP305758,PRJNA701308,SAMN41021660,HG00097-2,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned reads,fastq,paired,RANDOM,no shear,25506303618,8.23,0.410732,s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG00097/raw_data/hic/HG00097-2_FC1_S6_L001_R2_001.fastq.gz,25.51,HIC_Y3_Y4_part2
