filename,sample_ID,path,accession,study,biosample_accession,total_reads,total_bp,total_Gbp,min,max,mean,quartile_25,quartile_50,quartile_75,N25,N50,N75,ntsm_score,library_ID,library_strategy,library_source,library_selection,library_layout,platform,instrument_model,design_description,data_type,shear_method,size_selection,DeepConsensus_version,polymerase_version,seq_plate_chemistry_version,generator_facility,generator_contact,notes,ccs_algorithm,MM_tag,production
m54329U_200201_051510.ccs.bam,HG01123,s3://human-pangenomics/working/HPRC/HG01123/raw_data/PacBio_HiFi/m54329U_200201_051510.ccs.bam,SRR13684290,SRP305758,SAMN17861232,2072143,34554070679,34.55,46,43126,16675,14984,16468,18160,15294,16821,18566,,HG01123_HiFiEx_f2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 17kb fractionated gDNA,unaligned reads,g-TUBE,SageELF,,P2.0,C2.0,University of Washington,kmiyamot@uw.edu,,ccs 4.0.0 (commit SL-release-8.0.0),,UW_HPRC_HiFi_Y1
m64076_200306_185917.ccs.bam,HG01258,s3://human-pangenomics/working/HPRC/HG01258/raw_data/PacBio_HiFi_Swap_Fixed/m64076_200306_185917.ccs.bam,SRR13684289,SRP305758,SAMN17861233,1353905,26041896578,26.04,44,49803,19234,16739,18969,21696,17398,19748,22588,,HG01258.HiFiEx_f1,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 21kb fractionated gDNA,unaligned reads,g-TUBE,SageELF,,P2.0,C2.0,University of Washington,kmiyamot@uw.edu,,ccs 4.0.0 (commit SL-release-8.0.0),,UW_HPRC_HiFi_Y1
m64076_200201_051547.ccs.bam,HG01358,s3://human-pangenomics/working/HPRC/HG01358/raw_data/PacBio_HiFi/m64076_200201_051547.ccs.bam,SRR13684283,SRP305758,SAMN17861234,1610516,30068543676,30.07,47,50034,18670,16676,18344,20318,17038,18766,20859,,HG01358_HiFiEx_f1,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 18kb fractionated gDNA,unaligned reads,g-TUBE,SageELF,,P2.0,C2.0,University of Washington,kmiyamot@uw.edu,,ccs 4.0.0 (commit SL-release-8.0.0),,UW_HPRC_HiFi_Y1
m54329U_200306_185930.ccs.bam,HG01361,s3://human-pangenomics/working/HPRC/HG01361/raw_data/PacBio_HiFi_Swap_Fixed/m54329U_200306_185930.ccs.bam,SRR13684282,SRP305758,SAMN17861235,1662447,33289500589,33.29,46,49882,20024,17940,19628,21705,18270,20039,22241,,HG01361.HiFiEx_f2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA,unaligned reads,g-TUBE,SageELF,,P2.0,C2.0,University of Washington,kmiyamot@uw.edu,,ccs 4.0.0 (commit SL-release-8.0.0),,UW_HPRC_HiFi_Y1
m64076_200221_234426.ccs.bam,HG01361,s3://human-pangenomics/working/HPRC/HG01361/raw_data/PacBio_HiFi_Swap_Fixed/m64076_200221_234426.ccs.bam,SRR13684281,SRP305758,SAMN17861235,352516,6760635369,6.76,45,42847,19178,18750,19745,20615,18952,19881,20718,,HG01361.HiFiEx_f6,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 21kb fractionated gDNA,unaligned reads,g-TUBE,SageELF,,P2.0,C2.0,University of Washington,kmiyamot@uw.edu,,ccs 4.0.0 (commit SL-release-8.0.0),,UW_HPRC_HiFi_Y1
m54329U_200124_193652.ccs.bam,HG01891,s3://human-pangenomics/working/HPRC/HG01891/raw_data/PacBio_HiFi/m54329U_200124_193652.ccs.bam,SRR13684280,SRP305758,SAMN17861236,1596347,27122049640,27.12,47,43693,16990,15765,16844,18071,15912,17016,18263,,HG01891.HiFiEx_f2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 18kb fractionated gDNA,unaligned reads,g-TUBE,SageELF,,P2.0,C2.0,University of Washington,kmiyamot@uw.edu,,ccs 4.0.0 (commit SL-release-8.0.0),,UW_HPRC_HiFi_Y1
m64076_200125_231256.ccs.bam,HG02257,s3://human-pangenomics/working/HPRC/HG02257/raw_data/PacBio_HiFi/m64076_200125_231256.ccs.bam,SRR13684279,SRP305758,SAMN17861237,1032799,19712196692,19.71,48,49634,19086,17321,18791,20528,17578,19101,20919,,HG02257.HiFiEx_f2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 21kb fractionated gDNA,unaligned reads,g-TUBE,SageELF,,P2.0,C2.0,University of Washington,kmiyamot@uw.edu,,ccs 4.0.0 (commit SL-release-8.0.0),,UW_HPRC_HiFi_Y1
m54329U_200215_021808.ccs.bam,HG02486,s3://human-pangenomics/working/HPRC/HG02486/raw_data/PacBio_HiFi/m54329U_200215_021808.ccs.bam,SRR13684278,SRP305758,SAMN17861238,911631,18059386105,18.06,46,49591,19809,18232,19469,21079,18400,19709,21393,,HG02486.HiFiEx_f2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 22kb fractionated gDNA,unaligned reads,g-TUBE,SageELF,,P2.0,C2.0,University of Washington,kmiyamot@uw.edu,,ccs 4.0.0 (commit SL-release-8.0.0),,UW_HPRC_HiFi_Y1
m54329U_200313_161638.ccs.bam,HG02486,s3://human-pangenomics/working/HPRC/HG02486/raw_data/PacBio_HiFi/m54329U_200313_161638.ccs.bam,SRR13684277,SRP305758,SAMN17861238,1472019,26976692024,26.98,47,49122,18326,16560,18020,19749,16829,18345,20156,,HG02486.HiFiEx2_f2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 18kb fractionated gDNA,unaligned reads,g-TUBE,SageELF,,P2.0,C2.0,University of Washington,kmiyamot@uw.edu,,ccs 4.0.0 (commit SL-release-8.0.0),,UW_HPRC_HiFi_Y1
m64076_200211_192227.ccs.bam,HG02486,s3://human-pangenomics/working/HPRC/HG02486/raw_data/PacBio_HiFi/m64076_200211_192227.ccs.bam,SRR13684276,SRP305758,SAMN17861238,50172,1028856517,1.03,45,30053,20506,20033,20719,21404,20111,20780,21460,,HG02486.HiFiEx_b6,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 19kb fractionated gDNA,unaligned reads,g-TUBE,SageELF,,P2.0,C2.0,University of Washington,kmiyamot@uw.edu,,ccs 4.0.0 (commit SL-release-8.0.0),,UW_HPRC_HiFi_Y1
m54329U_200211_192235.ccs.bam,HG02559,s3://human-pangenomics/working/HPRC/HG02559/raw_data/PacBio_HiFi/m54329U_200211_192235.ccs.bam,SRR13684288,SRP305758,SAMN17861239,346033,6838204744,6.84,48,37258,19761,18953,19868,20760,19052,19960,20835,,HG02559.HiFiEx_b6,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA,unaligned reads,g-TUBE,SageELF,,P2.0,C2.0,University of Washington,kmiyamot@uw.edu,,ccs 4.0.0 (commit SL-release-8.0.0),,UW_HPRC_HiFi_Y1
m54329U_200217_055345.ccs.bam,HG02559,s3://human-pangenomics/working/HPRC/HG02559/raw_data/PacBio_HiFi/m54329U_200217_055345.ccs.bam,SRR13684287,SRP305758,SAMN17861239,1575697,32259514307,32.26,47,50075,20473,18489,20058,21980,18769,20412,22456,,HG02559.HiFiEx_f2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA,unaligned reads,g-TUBE,SageELF,,P2.0,C2.0,University of Washington,kmiyamot@uw.edu,,ccs 4.0.0 (commit SL-release-8.0.0),,UW_HPRC_HiFi_Y1
m54329U_200319_002813.ccs.bam,HG02572,s3://human-pangenomics/working/HPRC/HG02572/raw_data/PacBio_HiFi/m54329U_200319_002813.ccs.bam,SRR13684286,SRP305758,SAMN17861240,1274460,25594226013,25.59,46,50301,20082,17971,19670,21779,18307,20106,22336,,HG02572.HiFiEx_f2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 21kb fractionated gDNA,unaligned reads,g-TUBE,SageELF,,P2.0,C2.0,University of Washington,kmiyamot@uw.edu,,ccs 4.0.0 (commit SL-release-8.0.0),,UW_HPRC_HiFi_Y1
